Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Cold_Thermos,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status
830,,22-Apr-15,Allie,6:35:00 AM,FALSE,FALSE,FALSE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,25.962,9.8,ok,19667.37,9.2,ok
831,6986,23-Apr-15,Allie,2:11:00 PM,TRUE,FALSE,FALSE,1.019,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,288.52,1.3,ok,16717.76,2.4,ok
832,6991,24-Apr-15,Suwi,4:52:00 AM,TRUE,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,12.55,5.8,ok,,,,534.56,1.3,ok,9160.16,12.5,ok
833,6993,24-Apr-15,Abuk,5:31:00 AM,TRUE,FALSE,FALSE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,226.66,12.6,ok,75895.3,8.2,ok
834,6998,25-Apr-15,Allie,5:22:00 AM,TRUE,FALSE,TRUE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,2.165,1.3,ok,1.77,2,ok,101.78,9.8,ok,13373.98,1.8,ok
835,7000,25-Apr-15,Abuk,5:00:00 AM,TRUE,FALSE,TRUE,1.017,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,5.766,3.8,ok,2.411,2.4,ok,381.12,9.7,ok,5541.89,4.2,ok
836,7003,26-Apr-15,Suwi,11:30:00 AM,TRUE,FALSE,FALSE,1.01,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,459.414,10.5,ok,8413.952,2.7,ok
837,7002,26-Apr-15,Idun,10:30:00 AM,TRUE,FALSE,FALSE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,297.64,2.1,ok,7746.112,15.5,ok
838,7006,27-Apr-15,Abuk,5:11:00 AM,TRUE,FALSE,FALSE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,318.6,5,ok,1899.996,8.4,ok
839,7007,27-Apr-15,Suwi,4:53:00 AM,TRUE,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,10.372,0.3,ok,2.934,0.7,ok,345.94,5.5,ok,1300.299,9.2,ok
840,7013,28-Apr-15,Suwi,10:16:00 AM,TRUE,TRUE,FALSE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,262.259,1.6,ok,,,
841,7018,1-May-15,Abuk,10:01:00 AM,TRUE,FALSE,FALSE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,261.481,1.9,ok,2384.046,26.1,rerun
842,7019,2-May-15,Suwi,10:01:00 AM,TRUE,TRUE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,99.88,15.2,ok,7044.762,1.2,ok
