"follow_number","date","year","month","day","name_focal","class_focal","sex_focal","age_category","follow_type","length_active_period_min","ap_kcal","prev_day_ap_kcal","lipid_kcal","prev_day_lipid_kcal","tnc_kcal","prev_day_tnc_kcal","ndf_kcal_low","prev_day_ndf_kcal_low","total_kcal_using_ap_low_fermentation","prev_day_total_kcal_using_ap_low_fermentation","total_kcal_npe_low_fermentation","prev_day_total_kcal_npe_low_fermentation","npe_to_ap","lipid_to_ap","lipid_to_tnc","lipid_to_ndf_low","tnc_to_ap","tnc_to_ndf_low","ap_to_ndf_low","percent_ap","percent_lipid","percent_ndf_low","percent_tnc","fai","hi_low_quartile","fruit_category_quartiles"
7845,2016-04-29,2016,4,29,"Apoi","adult_flanged_male","male","adult","N-N",580,123.089570305527,374.317004995493,49.6309626680122,178.285203082386,315.795692249365,963.102891616971,51.1653010105134,137.421330922706,539.681526233417,1653.12643061756,416.59195592789,1278.80942562206,3.38446185890362,0.403210138314894,0.157161620269417,0.970012131030248,2.56557636415102,6.17206751474941,2.40572356410518,22.8078161512405,9.19634270500236,9.48064710823249,58.5151940355246,1.17959304,"low","low"
8541,2016-11-29,2016,11,29,"Apoi","adult_flanged_male","male","adult","N-N",604,455.297257313108,NA,176.385866471498,NA,1061.12764006186,NA,304.941044381824,NA,1997.75180822829,NA,1542.45455091519,NA,3.38779671113731,0.387408146300774,0.166224928851363,0.578426124397478,2.33062603171388,3.47977964794139,1.49306649826718,22.7904815522048,8.82921821144168,15.2642106554898,53.1160895808636,1.125989044,"low","low"
8544,2016-11-30,2016,11,30,"Apoi","adult_flanged_male","male","adult","N-N",704,428.866837332879,455.297257313108,176.251090125797,176.385866471498,1170.31483809041,1061.12764006186,316.43332600134,304.941044381824,2091.86609155043,1997.75180822829,1662.99925421755,1542.45455091519,3.8776587729649,0.410969267807934,0.150601431674048,0.556992818528385,2.7288536585589,3.69845633163637,1.35531501296757,20.5016391376666,8.42554362526931,15.1268442697883,55.9459729672758,1.125989044,"low","low"
8547,2016-12-01,2016,12,1,"Apoi","adult_flanged_male","male","adult","N-N",630,267.754659561407,428.866837332879,236.051507573035,176.251090125797,1133.12791289393,1170.31483809041,222.594905580263,316.43332600134,1859.52898560863,2091.86609155043,1591.77432604723,1662.99925421755,5.94489869440413,0.881596264131116,0.208318500397873,1.06045332420206,4.23196337553953,5.09053839278161,1.20287865018034,14.3990581288933,12.6941558534391,11.9704993739265,60.9362866437411,2.138057422,"low","low"
8555,2016-12-06,2016,12,6,"Apoi","adult_flanged_male","male","adult","N-N",644,342.486636061028,NA,246.136688411587,NA,1000.51703546878,NA,167.241940713003,NA,1756.3823006544,NA,1413.89566459337,NA,4.12832360659301,0.718675307283311,0.246009492778163,1.47174020680597,2.92133160866019,5.98245291344548,2.04785136193053,19.4995494963382,14.013844726167,9.52195547920812,56.9646502982867,2.138057422,"low","low"
8562,2016-12-07,2016,12,7,"Apoi","adult_flanged_male","male","adult","N-N",610,418.29713219709,342.486636061028,354.827805921877,246.136688411587,1174.2113907548,1000.51703546878,231.499510337571,167.241940713003,2178.83583921134,1756.3823006544,1760.53870701425,1413.89566459337,4.2088232777669,0.848267364536203,0.302183924219801,1.53273674490486,2.80712273734056,5.07219816164008,1.80690288107795,19.1981940387257,16.2852014610845,10.624917498207,53.8916870019829,2.138057422,"low","low"
1231,2005-09-09,2005,9,9,"Aqil","adult_flanged_male","male","adult","N-N",684,300.403597159785,NA,271.502721619934,NA,1040.06370560229,NA,229.050030095419,NA,1841.02005447743,NA,1540.61645731764,NA,5.12848871279722,0.903793177534824,0.261044318879207,1.18534244028184,3.46222120985149,4.54077087511848,1.31151957078827,16.3172365466195,14.7474070670566,12.441473928454,56.4938824578699,2.812295618,"low","medium"
3007,2008-11-09,2008,11,9,"Aqil","adult_flanged_male","male","adult","N-N",672,67.791008960485,NA,366.340127024983,NA,1356.03822209367,NA,147.549526787493,NA,1937.71888486663,NA,1869.92787590614,NA,27.5837150763771,5.40396333735822,0.270154720609106,2.48282820691524,20.0032163982704,9.19039356897899,0.459445790416668,3.4984955500989,18.9057416886453,7.61459920424157,69.9811635570142,5.758513932,"high","medium"
3008,2008-11-10,2008,11,10,"Aqil","adult_flanged_male","male","adult","N-N",574,173.865760662103,67.791008960485,38.3916019726547,366.340127024983,520.547709038277,1356.03822209367,119.23637545769,147.549526787493,852.041447130725,1937.71888486663,678.175686468622,1869.92787590614,3.90057066949837,0.22081174479929,0.073752321460763,0.321978941621532,2.9939633143177,4.36567873721545,1.45816039773699,20.4057867428399,4.50583737468871,13.9941989746183,61.0941769078531,5.758513932,"high","medium"
7382,2015-09-23,2015,9,23,"Arthur","adult_flanged_male","male","adult","N-N",616,266.019914290393,NA,1091.53695721086,NA,2570.39623563697,NA,374.343397085078,NA,4302.2965042233,NA,4036.27658993291,NA,15.172836216791,4.10321520523202,0.424657078966025,2.91587073716379,9.66242035861672,6.86641264585413,0.710630710630471,6.1832073644682,25.3710304749886,8.70101344055687,59.7447487199864,4.483188045,"high","medium"
8702,2017-02-04,2017,2,4,"Arthur","adult_flanged_male","male","adult","N-N",600,70.7804551597666,NA,110.468054342752,NA,198.198436038937,NA,56.5538469036151,NA,436.000792445071,NA,365.220337285304,NA,5.1599037680801,1.56071409958302,0.557360878069944,1.9533252005124,2.80018594951899,3.50459689111384,1.25155863013878,16.2340198426781,25.3366636613783,12.9710422282638,45.4582742676797,1.620299603,"low","low"
1417,2006-01-06,2006,1,6,"Bobo","adult_flanged_male","male","adult","N-N",610,141.353198930993,NA,295.758056607579,NA,1805.63511442368,NA,400.103561856955,NA,2642.8499318192,NA,2501.49673288821,NA,17.6967819038139,2.09233366378899,0.163797244662014,0.73920375823427,12.773924665866,4.51291937028351,0.353291528510635,5.34851401243554,11.190875919466,15.1390949989182,68.3215150691802,11.22047244,"high","high"
1419,2006-01-07,2006,1,7,"Bobo","adult_flanged_male","male","adult","N-N",678,164.255117230317,141.353198930993,350.142027822525,295.758056607579,2021.55137160489,1805.63511442368,482.115527659781,400.103561856955,3018.06404431751,2642.8499318192,2853.8089270872,2501.49673288821,17.3742466914173,2.1316963131904,0.173204615396219,0.726261669111004,12.3073874695197,4.19308496745092,0.340696592013168,5.44239998947606,11.6015439924736,15.9743305834586,66.9817254345917,11.22047244,"high","high"
